,answer_count,articles_count,avatar_url,avatar_url_template,badge,follower_count,gender,headline,id,is_advertiser,is_followed,is_following,is_org,name,type,url,url_token,user_type
0,19,0,https://pic1.zhimg.com/7d4bcca9b6a01001b7393eed1d5ed254_is.jpg,https://pic1.zhimg.com/7d4bcca9b6a01001b7393eed1d5ed254_{size}.jpg,[],1192,-1,语音识别研究员，剑桥大学工程系,ee22a8e26b1dd523733d4cd825ff4043,False,False,True,False,chaopig,people,http://www.zhihu.com/api/v4/people/ee22a8e26b1dd523733d4cd825ff4043,zhang-chao-89-9,people
1,331,4,https://pic4.zhimg.com/f01d77abf_is.jpg,https://pic4.zhimg.com/f01d77abf_{size}.jpg,[],1714,1,optimism in the face of uncertainty,1bdcce19e3734eeb70af20897634f0b3,False,False,True,False,虞翔,people,http://www.zhihu.com/api/v4/people/1bdcce19e3734eeb70af20897634f0b3,yu-xiang-8,people
2,7,1,https://pic3.zhimg.com/e09393332_is.jpg,https://pic3.zhimg.com/e09393332_{size}.jpg,[],164,1,想着一鸣惊人十之八九不会如此,c7a4ccf9f78c1669f8f00546adaee0fa,False,False,True,False,bily lee,people,http://www.zhihu.com/api/v4/people/c7a4ccf9f78c1669f8f00546adaee0fa,bily.lee,people
3,45,1,https://pic1.zhimg.com/1be9d5c0ccc6b73c724ed50812dc2350_is.jpg,https://pic1.zhimg.com/1be9d5c0ccc6b73c724ed50812dc2350_{size}.jpg,[],2357,1,小米语音,4d29efdd93412a11cdafee99dba4fd9b,False,False,True,False,张俊博,people,http://www.zhihu.com/api/v4/people/4d29efdd93412a11cdafee99dba4fd9b,jimbozhang,people
4,9,5,https://pic4.zhimg.com/v2-4701138845122325aaffb5fde929e34f_is.jpg,https://pic4.zhimg.com/v2-4701138845122325aaffb5fde929e34f_{size}.jpg,[],1169,1,"居燕园, 研究员, 人工智能/机器学习/深度学习/增强学习。",9e8898011cabe29cdc1c81c2d91c1b23,False,False,True,False,Zhanxing Zhu,people,http://www.zhihu.com/api/v4/people/9e8898011cabe29cdc1c81c2d91c1b23,zhanxing-zhu,people
5,416,73,https://pic4.zhimg.com/v2-a6941e9602248fc1b11fd7f3539a9f87_is.jpg,https://pic4.zhimg.com/v2-a6941e9602248fc1b11fd7f3539a9f87_{size}.jpg,[],221658,1,城市的魅力。美丽的城市。,685ea0b4e856a4c694d9b1e39f1dea67,False,False,True,False,David Rand,people,http://www.zhihu.com/api/v4/people/685ea0b4e856a4c694d9b1e39f1dea67,david-rand,people
6,197,212,https://pic4.zhimg.com/v2-004623660829745f0a845b22b7edabe3_is.jpg,https://pic4.zhimg.com/v2-004623660829745f0a845b22b7edabe3_{size}.jpg,[],163301,1,"公众号""倒追学堂""",413cac83ac9bb62b8c55c85f7f80722b,False,False,True,False,徐强,people,http://www.zhihu.com/api/v4/people/413cac83ac9bb62b8c55c85f7f80722b,johnxu,people
7,752,50,https://pic2.zhimg.com/d49803021_is.jpg,https://pic2.zhimg.com/d49803021_{size}.jpg,[],121340,1,哦，耶~,7806a9a8bcca9208159b585fe678e3bf,False,False,True,False,為夢而生,people,http://www.zhihu.com/api/v4/people/7806a9a8bcca9208159b585fe678e3bf,jilingbhl,people
8,533,0,https://pic3.zhimg.com/37b3bbce6_is.jpg,https://pic3.zhimg.com/37b3bbce6_{size}.jpg,"[{'topics': [{'url': 'http://www.zhihu.com/api/v4/topics/19559516', 'avatar_url': 'https://pic4.zhimg.com/4daba2dd7_is.jpg', 'name': '首次公开募股（IPO）', 'introduction': '首次公开募股（Initial Public Offerings）是指企业透过证券交易所首次公开向投资者增发股票，以期募集用于企业发展资金的过程。', 'type': 'topic', 'excerpt': '首次公开募股（Initial Public Offerings）是指企业透过证券交易所首次公开向投资者增发股票，以期募集用于企业发展资金的过程。', 'id': '19559516'}, {'url': 'http://www.zhihu.com/api/v4/topics/19609455', 'avatar_url': 'https://pic2.zhimg.com/ca0657b5e0ef154ee25c3e357a6c607d_is.jpg', 'name': '金融', 'introduction': '在社会经济生活，银行、证券或保险业者从市场主体募集资金，并投资给其它市场主体的经济活动。', 'type': 'topic', 'excerpt': '在社会经济生活，银行、证券或保险业者从市场主体募集资金，并投资给其它市场主体的经济活动。', 'id': '19609455'}, {'url': 'http://www.zhihu.com/api/v4/topics/19550895', 'avatar_url': 'https://pic1.zhimg.com/41c292be0_is.jpg', 'name': '投资银行', 'introduction': '投资银行是金融世界的中间人，其作用之一是它为社会中的个人，企业及政府提供证券融资的服务，如企业为了发展而需要发行债券或者股票就需要投资银行作为中间人承担包销债券和股票。作用之二是为企业的提供收购，合并和重组服务。最后投资银行也为机构投资者提供证券经纪人服务。', 'type': 'topic', 'excerpt': '投资银行是金融世界的中间人，其作用之一是它为社会中的个人，企业及政府提供证券融资的服务，如企业为了发展而需要发行债券或者股票就需要投资银行作为中间人承担包销债券和股票。作用之二是为企业的提供收购，合并和重组服务。最后投资银行也为机构投资者提供证券经纪人服务。', 'id': '19550895'}, {'url': 'http://www.zhihu.com/api/v4/topics/19551404', 'avatar_url': 'https://pic4.zhimg.com/cdadbe013_is.jpg', 'name': '投资', 'introduction': '在透彻的分析基础之上，购买某种资产以期待未来能保证本金的安全并获得固定的或者非固定的满意回报的理性行为称之投资', 'type': 'topic', 'excerpt': '在透彻的分析基础之上，购买某种资产以期待未来能保证本金的安全并获得固定的或者非固定的满意回报的理性行为称之投资', 'id': '19551404'}, {'url': 'http://www.zhihu.com/api/v4/topics/19560170', 'avatar_url': 'https://pic4.zhimg.com/30ffc337a555a56877aebdab9c5042f7_is.jpg', 'name': '经济学', 'introduction': '<b>经济学</b>是现代的一个独立学科，研究人们的行为与稀缺性资源之间的关系。<br>经济学主要进行如下几点考虑：·<br><b>资源的稀缺性</b>是经济学分析的前提；<br><b>人的行为</b>是经济学分析的对象；<br>注重<b>解释与预测</b>的理论属于实证经济学范畴，包含<b>价值判断</b>的理论属于规范经济学范畴。', 'type': 'topic', 'excerpt': '经济学是现代的一个独立学科，研究人们的行为与稀缺性资源之间的关系。 经济学主要进行如下几点考虑：· 资源的稀缺性是经济学分析的前提； 人的行为是经济学分析的对象； 注重解释与预测的理论属于实证经济学范畴，包含价值判断的理论属于规范经济学范畴。', 'id': '19560170'}, {'url': 'http://www.zhihu.com/api/v4/topics/19555715', 'avatar_url': 'https://pic4.zhimg.com/v2-4bfbf6f338ce5fb5297dec5fbc473003_is.jpg', 'name': '银行', 'introduction': '银行是通过存款、贷款、汇兑、储蓄等业务，承担信用中介的金融机构。银行是金融机构之一，而且是最主要的金融机构，它主要的业务范围有吸收公众存款、发放贷款以及办理票据贴现等。', 'type': 'topic', 'excerpt': '银行是通过存款、贷款、汇兑、储蓄等业务，承担信用中介的金融机构。银行是金融机构之一，而且是最主要的金融机构，它主要的业务范围有吸收公众存款、发放贷款以及办理票据贴现等。', 'id': '19555715'}, {'url': 'http://www.zhihu.com/api/v4/topics/19570354', 'avatar_url': 'https://pic3.zhimg.com/181db6aee_is.jpg', 'name': '证券', 'introduction': '各种经济权益凭证的统称。包括股票、债券、票据、期权等等。', 'type': 'topic', 'excerpt': '各种经济权益凭证的统称。包括股票、债券、票据、期权等等。', 'id': '19570354'}, {'url': 'http://www.zhihu.com/api/v4/topics/19552981', 'avatar_url': 'https://pic2.zhimg.com/v2-b761e41f19531e4899892e9197de40dd_is.jpg', 'name': '经济', 'introduction': '经济是指一定范围（国家、区域）内，组织一切生产、分配、流通和消费活动与关系的系统之总称。而研究经济问题、探讨经济发展规律、解释经济现象成因的社会科学即称为经济学。', 'type': 'topic', 'excerpt': '经济是指一定范围（国家、区域）内，组织一切生产、分配、流通和消费活动与关系的系统之总称。而研究经济问题、探讨经济发展规律、解释经济现象成因的社会科学即称为经济学。', 'id': '19552981'}, {'url': 'http://www.zhihu.com/api/v4/topics/19554320', 'avatar_url': 'https://pic1.zhimg.com/e82bab09c_is.jpg', 'name': '上市公司', 'introduction': '', 'type': 'topic', 'excerpt': '', 'id': '19554320'}, {'url': 'http://www.zhihu.com/api/v4/topics/19568381', 'avatar_url': 'https://pic2.zhimg.com/v2-7226f40a6e36bcaf797df75405647b59_is.png', 'name': '会计', 'introduction': '会计是研究财务活动和成本资料的收集、分类、综合、分析和解释的基础上形成协助决策的信息系统，以有效地管理经济的一门应用学科，可以说它是社会学科的组成部分，也是一门重要的管理学科。会计学的研究对象是资金的运动。........', 'type': 'topic', 'excerpt': '会计是研究财务活动和成本资料的收集、分类、综合、分析和解释的基础上形成协助决策的信息系统，以有效地管理经济的一门应用学科，可以说它是社会学科的组成部分，也是一门重要的管理学科。会计学的研究对象是资金的运动。........', 'id': '19568381'}, {'url': 'http://www.zhihu.com/api/v4/topics/19551003', 'avatar_url': 'https://pic2.zhimg.com/v2-b5402ed63768d0265796ff7c1491ccb5_is.png', 'name': '金融学', 'introduction': '金融学（Finance）是以融通货币和货币资金的经济活动为研究对象，具体研究个人、机构如何获取、支出以及管理资金以及其他金融资产的学科，是从经济学中分化出来的学科。', 'type': 'topic', 'excerpt': '金融学（Finance）是以融通货币和货币资金的经济活动为研究对象，具体研究个人、机构如何获取、支出以及管理资金以及其他金融资产的学科，是从经济学中分化出来的学科。', 'id': '19551003'}, {'url': 'http://www.zhihu.com/api/v4/topics/19638781', 'avatar_url': 'https://pic1.zhimg.com/6a5bf4c60_is.jpg', 'name': '企业并购', 'introduction': '并购指兼并 (Merger) 和收购 (Acquisition)。<br><br>但这两种行为之间有明确的区分。', 'type': 'topic', 'excerpt': '并购指兼并 (Merger) 和收购 (Acquisition)。 但这两种行为之间有明确的区分。', 'id': '19638781'}], 'type': 'best_answerer', 'description': '优秀回答者'}]",306382,1,,4265c545cf4082e80eea50617ff60cca,False,False,True,False,Luo Patrick,people,http://www.zhihu.com/api/v4/people/4265c545cf4082e80eea50617ff60cca,patrickluo,people
9,109,2,https://pic1.zhimg.com/c104d6f24_is.jpg,https://pic1.zhimg.com/c104d6f24_{size}.jpg,"[{'type': 'identity', 'description': '创新工场 董事长'}]",1032194,-1,,043ff01e5d03c529c268d50f388012c2,False,False,True,False,李开复,people,http://www.zhihu.com/api/v4/people/043ff01e5d03c529c268d50f388012c2,kaifulee,people
